OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","634","mg/l",,"Historical",,"Actual",,,,,,,"70301",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","0.86","tons/ac ft",,"Historical",,"Actual",,,,,,,"70303",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Inorganic nitrogen (nitrate and nitrite)","Dissolved","0.750","mg/l as N",,"Historical",,"Actual",,,,,,,"00631",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Phosphate","Dissolved","0.060","mg/l",,"Historical",,"Actual",,,,,,,"00660",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00003","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Boron","Dissolved","350","ug/l",,"Historical",,"Actual",,,,,,,"01020",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Iron","Dissolved","20","ug/l",,"Historical",,"Actual",,,,,,,"01046",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202552","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbon dioxide","Total","15","mg/l",,"Historical",,"Actual",,,,,,,"00405",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium adsorption ratio",,"0.6","None",,"Historical",,"Actual",,,,,,,"00931",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium, percent total cations",,"13","%",,"Historical",,"Actual",,,,,,,"00932",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium","Dissolved","30.0","mg/l",,"Historical",,"Actual",,,,,,,"00930",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Bicarbonate","Total","327","mg/l",,"Historical",,"Actual",,,,,,,"00440",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbonate (CO3)","Total","0.0","mg/l",,"Historical",,"Actual",,,,,,,"00445",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Chloride","Dissolved","30.0","mg/l",,"Historical",,"Actual",,,,,,,"00940",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Silica","Dissolved","16.0","mg/l",,"Historical",,"Actual",,,,,,,"00955",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sulfate","Dissolved","180","mg/l",,"Historical",,"Actual",,,,,,,"00945",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","574","mg/l",,"Historical",,"Actual",,,,,,,"70301",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","0.78","tons/ac ft",,"Historical",,"Actual",,,,,,,"70303",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00002","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, mean. daily",,"40","ft3/s",,"Historical","Mean","Actual",,"1 Day",,,,,"00060",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbon dioxide","Total","11","mg/l",,"Historical",,"Actual",,,,,,,"00405",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"pH","Total","7.7","std units",,"Historical",,"Actual",,,,,,,"00400",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","887","uS/cm @25C",,"Historical",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"11.0","deg C",,"Historical",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total hardness -- SDWA NPDWR",,"420","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00900",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hardness, non-carbonate","Total","150","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00902",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Calcium","Dissolved","120","mg/l",,"Historical",,"Actual",,,,,,,"00915",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Magnesium","Dissolved","29.0","mg/l",,"Historical",,"Actual",,,,,,,"00925",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202553","Sample-Routine","Water","Surface Water","1972-04-26","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Potassium","Dissolved","7.90","mg/l",,"Historical",,"Actual",,,,,,,"00935",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, mean. daily",,"45","ft3/s",,"Historical","Mean","Actual",,"1 Day",,,,,"00060",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbon dioxide","Total","22","mg/l",,"Historical",,"Actual",,,,,,,"00405",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Manganese","Dissolved","0.0","ug/l",,"Historical",,"Actual",,,,,,,"01056",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Iron","Dissolved","130","ug/l",,"Historical",,"Actual",,,,,,,"01046",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Boron","Dissolved","230","ug/l",,"Historical",,"Actual",,,,,,,"01020",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00004","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Phosphate","Dissolved","0.150","mg/l",,"Historical",,"Actual",,,,,,,"00660",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Inorganic nitrogen (nitrate and nitrite)","Dissolved","1.10","mg/l as N",,"Historical",,"Actual",,,,,,,"00631",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","0.85","tons/ac ft",,"Historical",,"Actual",,,,,,,"70303",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","622","mg/l",,"Historical",,"Actual",,,,,,,"70301",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sulfate","Dissolved","200","mg/l",,"Historical",,"Actual",,,,,,,"00945",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Silica","Dissolved","16.0","mg/l",,"Historical",,"Actual",,,,,,,"00955",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Fluoride","Dissolved","0.90","mg/l",,"Historical",,"Actual",,,,,,,"00950",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Chloride","Dissolved","29.0","mg/l",,"Historical",,"Actual",,,,,,,"00940",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbonate (CO3)","Total","0.0","mg/l",,"Historical",,"Actual",,,,,,,"00445",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Bicarbonate","Total","344","mg/l",,"Historical",,"Actual",,,,,,,"00440",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium","Dissolved","34.0","mg/l",,"Historical",,"Actual",,,,,,,"00930",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium, percent total cations",,"14","%",,"Historical",,"Actual",,,,,,,"00932",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium adsorption ratio",,"0.7","None",,"Historical",,"Actual",,,,,,,"00931",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Potassium","Dissolved","8.70","mg/l",,"Historical",,"Actual",,,,,,,"00935",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Magnesium","Dissolved","29.0","mg/l",,"Historical",,"Actual",,,,,,,"00925",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Calcium","Dissolved","130","mg/l",,"Historical",,"Actual",,,,,,,"00915",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hardness, non-carbonate","Total","160","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00902",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total hardness -- SDWA NPDWR",,"440","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00900",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"18.0","deg C",,"Historical",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","964","uS/cm @25C",,"Historical",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202554","Sample-Routine","Water","Surface Water","1972-06-01","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"pH","Total","7.4","std units",,"Historical",,"Actual",,,,,,,"00400",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202555","Sample-Routine","Water","Surface Water","1972-09-14","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, mean. daily",,"41","ft3/s",,"Historical","Mean","Actual",,"1 Day",,,,,"00060",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202555","Sample-Routine","Water","Surface Water","1972-09-14","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Manganese","Dissolved","0.0","ug/l",,"Historical",,"Actual",,,,,,,"01056",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202555","Sample-Routine","Water","Surface Water","1972-09-14","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Boron","Dissolved","240","ug/l",,"Historical",,"Actual",,,,,,,"01020",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202555","Sample-Routine","Water","Surface Water","1972-09-14","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00003","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202555","Sample-Routine","Water","Surface Water","1972-09-14","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10156000",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Phosphate","Dissolved","0.090","mg/l",,"Historical",,"Actual",,,,,,,"00660",,,,,,,,,,,,,,,,
